time=0.07,T1=6.5,H1=47.4,T2=26.1,H2=24.3,V=4.16
time=0.12,T1=6.5,H1=48.0,T2=26.0,H2=24.8,V=4.16
time=0.04,T1=6.8,H1=48.3,T2=25.9,H2=25.0,V=4.16
time=0.09,T1=6.8,H1=48.2,T2=25.8,H2=25.0,V=4.16
time=0.13,T1=6.8,H1=48.3,T2=25.8,H2=25.0,V=4.16
time=0.18,T1=6.7,H1=48.2,T2=25.7,H2=25.1,V=4.16
time=0.22,T1=6.8,H1=48.3,T2=25.7,H2=25.1,V=4.16
time=0.26,T1=6.5,H1=48.0,T2=25.7,H2=25.3,V=4.16
time=0.31,T1=6.8,H1=48.3,T2=25.6,H2=25.3,V=4.16
time=0.35,T1=6.8,H1=48.3,T2=25.6,H2=25.4,V=4.16
time=0.40,T1=6.7,H1=48.2,T2=25.6,H2=25.5,V=4.16
time=0.44,T1=6.5,H1=48.0,T2=25.5,H2=25.5,V=4.16
time=0.48,T1=6.8,H1=48.3,T2=25.5,H2=25.6,V=4.16
time=0.53,T1=6.6,H1=48.1,T2=25.5,H2=25.7,V=4.16
time=0.57,T1=6.6,H1=48.1,T2=25.5,H2=25.7,V=4.16
time=0.62,T1=6.6,H1=48.1,T2=25.4,H2=25.7,V=4.16
time=0.66,T1=6.7,H1=48.2,T2=25.4,H2=25.8,V=4.16
time=0.70,T1=6.8,H1=48.2,T2=25.4,H2=25.8,V=4.16
time=0.75,T1=6.5,H1=48.0,T2=25.3,H2=25.7,V=4.16
0.79,T1=6.7,H1=48.2,T2=25.3,H2=25.8,V=4.16
time=0.83,T1=6.5,H1=48.0,T2=25.3,H2=26.0,V=4.16
time=0.88,T1=6.5,H1=48.2,T2=25.3,H2=26.1,V=4.16
time=0.92,T1=6.6,H1=48.3,T2=25.2,H2=26.1,V=4.16
time=0.97,T1=6.7,H1=48.4,T2=25.2,H2=26.1,V=4.16
time=1.01,T1=6.7,H1=48.5,T2=25.2,H2=26.2,V=4.16
time=1.05,T1=6.4,H1=48.2,T2=25.2,H2=26.3,V=4.15
time=1.10,T1=6.7,H1=48.5,T2=25.2,H2=26.4,V=4.16
time=1.14,T1=6.5,H1=48.3,T2=25.1,H2=26.4,V=4.15
time=1.19,T1=6.5,H1=48.3,T2=25.1,H2=26.5,V=4.15
time=1.23,T1=6.7,H1=48.6,T2=25.1,H2=26.6,V=4.15
