	разрядка 6000 подсветка включена	
	время	V батареи.
22.11.16 01:00	00:00:00	4,10
22.11.16 01:10	00:10:00	4,08
22.11.16 01:20	00:20:00	4,06
22.11.16 01:30	00:30:00	4,05
22.11.16 01:46	00:46:00	4,04
22.11.16 02:00	01:00:00	4,04
22.11.16 02:30	01:30:00	4,02
22.11.16 03:00	02:00:00	4,01
22.11.16 04:30	03:30:00	3,97
22.11.16 06:44	05:44:00	3,96
22.11.16 07:13	06:13:00	3,96
22.11.16 08:56	07:56:00	3,94
22.11.16 10:05	09:05:00	3,93
22.11.16 12:10	11:10:00	3,91
22.11.16 13:11	12:11:00	3,88
22.11.16 14:11	13:11:00	3,86
22.11.16 15:22	14:22:00	3,82
22.11.16 16:49	15:49:00	3,75
22.11.16 17:29	16:29:00	3,70
